Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
153,275.8727273,243.4686869,511.6464646,1397.269697,712.1727273,196.1575758,817.3161616,267.3888889,723.2545455,374.1171717
154,277.8606061,242.4767677,503.9343434,1393.2,714.5767677,196.0939394,817.8868687,266.2818182,724.8515152,376.2515152
155,280.8989899,240.1373737,502.9616162,1402.325253,719.4252525,196.6555556,818.5919192,266.6343434,721.7414141,376.4525253
156,285.5010101,239.1888889,512.7282828,1412.468687,723.1181818,196.3,817.6454545,268.1747475,719.9565657,373.4888889
157,291.5777778,237.4929293,520.1010101,1416.883838,723.7929293,197.5838384,813.8787879,267.4929293,724.9090909,370.4505051
158,296.2052578,236.1203236,517.0879676,1417.939333,721.2507583,198.8210313,806.983822,266.8705763,731.0424671,367.7735086
159,298.2113246,234.6562184,507.2406471,1414.701719,719.9191102,196.9160768,801.2436805,269.2082912,729.1921132,366.487361
160,299.1061678,234.0637007,495.9100101,1407.542973,723.9231547,194.9524772,796.1536906,272.4782609,722.4823054,365.8746208
161,296.8473205,235.8250758,485.223458,1396.129424,724.0849343,194.6713852,791.3579373,274.744186,715.1253792,364.7067745
162,293.1659919,235.3461538,481.1508097,1392.828947,721.5819838,195.5607287,789.6255061,276.3856275,712.4342105,363.8097166
163,290.8662614,235.9037487,486.7922999,1401.348531,719.8774063,196.5390071,792.2472138,276.4903749,711.3120567,364.9381966
164,291.1438703,237.5471125,492.8956434,1403.355623,721.1914894,196.6909828,791.5866261,275.2117528,708.064843,366.5937183
165,291.9017224,239.9675785,490.4204661,1398.720365,725.4711246,196.0172239,785.6909828,272.4842958,704.2350557,366.9949341
166,292.2553191,241.4305978,478.7436677,1399.751773,726.2198582,195.7446809,779.260385,271.8014184,706.6433637,366.781155
167,291.9503546,239.6818642,470.449848,1405.460993,722.2512665,196.4518744,774.1327254,274.2745694,706.6089159,368.9746707
168,292.3052738,236.1805274,472.2920892,1405.033469,720.331643,196.7697769,773.1572008,273.5872211,702.6217039,370.8661258
169,292.0740365,234.7931034,476.4655172,1396.157201,722.8154158,196.9168357,773.4320487,272.4888438,697.9036511,368.4442191
170,290.9371197,236.6064909,479.1916836,1387.836714,727.0385396,197.4492901,772.3498986,271.8762677,690.9290061,363.6419878
171,291.2434077,239.9665314,483.3823529,1390.996957,726.1115619,195.6501014,773.2910751,272.8762677,686.1135903,360.1196755
172,292.6419878,240.8103448,482.8600406,1403.40568,727.1764706,194.0912779,773.346856,276.0527383,686.9188641,359.0628803
173,297.5680894,242.2408537,476.7723577,1413.08435,728.4593496,194.7977642,774.4623984,277.1422764,691.2865854,362.027439
174,304.1849593,242.1239837,471.5863821,1414.160569,725.3943089,194.3150407,775.6056911,272.6168699,693.4552846,363.7337398
175,311.3018293,239.9186992,473.0731707,1417.005081,726.8861789,195.2327236,779.8973577,270.1890244,696.2743902,363.6504065
176,317.0589431,238.5965447,473.3617886,1422.333333,729.9552846,198.4034553,785.2662602,270.7713415,700.3892276,361.8262195
177,319.7154472,238.1168699,470.7012195,1434.621951,729.4623984,200.0752033,789.171748,270.9339431,703.4085366,360.1361789
178,319.5462869,237.982706,465.0305188,1438.688708,733.8056968,200.3713123,793.3082401,269.7934893,703.439471,361.6978637
179,317.0610376,238.8382503,462.6144456,1425.386572,734.6286877,197.4343845,797.6795524,267.9674466,701.2624619,365.4313327
180,315.6103764,239.4872838,462.051882,1415.771109,730.1505595,194.6408952,799.4516785,268.8982706,702.1841302,368.128179
